2026-06-26 17:15:41,367 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:15:47,114 | INFO | app.model_loader | Model and preprocessor loaded.
2026-06-26 17:17:27,003 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:17:27,847 | INFO | watchfiles.main | 6 changes detected
2026-06-26 17:17:30,125 | INFO | app.model_loader | Model and preprocessor loaded.
2026-06-26 17:17:38,374 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:17:39,191 | INFO | watchfiles.main | 6 changes detected
2026-06-26 17:17:41,381 | INFO | app.model_loader | Model and preprocessor loaded.
2026-06-26 17:30:48,502 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:30:53,095 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:30:59,844 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:01,357 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:06,207 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:09,635 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:12,813 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:17,242 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:26,224 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:26,581 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:27,034 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:27,400 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:27,809 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:28,226 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:28,636 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:29,042 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:29,452 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:29,816 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:30,230 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:30,635 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:31,089 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:31,445 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:31,859 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:32,223 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:32,639 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:33,043 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:33,452 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:33,854 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:34,258 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:34,668 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:35,073 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:35,497 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:35,905 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:36,311 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:36,727 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:37,101 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:37,502 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:37,864 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:38,380 | INFO | watchfiles.main | 2 changes detected
2026-06-26 17:31:38,796 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:39,148 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:39,501 | INFO | watchfiles.main | 2 changes detected
2026-06-26 17:31:39,864 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:40,231 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:40,585 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:40,945 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:41,296 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:41,648 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:42,007 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:42,365 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:42,731 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:43,147 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:43,552 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:43,964 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:44,365 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:44,767 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:45,182 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:45,604 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:46,013 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:46,418 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:46,822 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:47,173 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:47,588 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:47,954 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:48,368 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:48,780 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:49,191 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:49,594 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:49,994 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:50,402 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:50,805 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:51,208 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:51,569 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:51,979 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:52,387 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:52,794 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:53,206 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:53,608 | INFO | watchfiles.main | 1 change detected
2026-06-26 17:31:53,972 | INFO | watchfiles.main | 1 change detected
